"studlab","year","phase","region","D1","D2","D3","D4","D5","Overall","Rationale"
"KEYNOTE-024 (2016)",2016,"Phase III","Global","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns","Central interactive randomization; open-label design with blinded independent central review (BICR) for PFS/OS; <2% missing data; pre-specified SAP."
"KEYNOTE-042 (2019)",2019,"Phase III","Global","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns","Permuted-block IVRS randomization; open-label with independent review; intention-to-treat analysis; comprehensive protocol registration."
"EMPOWER-Lung1 (2021)",2021,"Phase III","Global","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns","Central stratification; open-label treatment; protocol crossover allowed on progression; robust survival follow-up; low missingness."
"IMpower110 (2020)",2020,"Phase III","Global","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk","Double-dummy blinding maintained during induction; minimal protocol deviations; complete survival tracking; pre-registered trial endpoints."
"KEYNOTE-189 (2018)",2018,"Phase III","Global","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk","Double-blind, placebo-controlled design; central randomization; robust handling of missing data (<1%); strictly followed published SAP."
"KEYNOTE-407 (2018)",2018,"Phase III","Global","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk","Double-blind, placebo-controlled design; adequate allocation concealment; excellent retention; objective death endpoint blinded to allocation."
"IMpower130 (2019)",2019,"Phase III","Global","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns","Open-label design with BICR; modest unbalanced treatment discontinuation in control arm; complete intention-to-treat survival data."
"CameL (2021)",2021,"Phase III","Asia-Pacific","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk","Double-blind trial; centralized IVRS allocation; balanced arm retention; robust survival verification; no selective reporting."
"RATIONALE-307 (2021)",2021,"Phase III","Asia-Pacific","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns","Open-label design; objective overall survival endpoint less prone to measurement bias; pre-registered protocol endpoints."
"ORIENT-11 (2021)",2021,"Phase III","Asia-Pacific","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk","Double-blind, placebo-controlled trial; robust allocation concealment; balanced dropouts; full adherence to protocol SAP."
"IMpower150 (2018)",2018,"Phase III","Global","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns","Open-label multi-arm trial; BICR assessment; well-balanced supportive care; minimal attrition for primary OS endpoint."
"CheckMate-9LA (2020)",2020,"Phase III","Global","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns","Open-label three-arm study; independent central confirmation; balanced early deaths; complete long-term survival follow-up."
"CheckMate-227 (2019)",2019,"Phase III","Global","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns","Open-label complex multi-part design; pre-specified hierarchical testing; BICR analysis for progression; high survival retention."
"POSEIDON (2022)",2022,"Phase III","Global","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns","Open-label three-arm trial; central randomisation; objective death verification; intention-to-treat analysis across all arms."
"IPASS (2009)",2009,"Phase III","Asia-Pacific","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns","Central randomization; open-label design; subsequent line EGFR-TKI crossover; mature survival tracking."
"EURTAC (2012)",2012,"Phase III","Europe","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns","Prematurely terminated for overwhelming PFS efficacy; small sample size (n=173); open-label design; post-progression crossover."
"OPTIMAL (2011)",2011,"Phase III","Asia-Pacific","Low risk","Some concerns","Some concerns","Low risk","Low risk","Some concerns","Open-label trial; higher post-study treatment switching; small trial size; adequate centralized random allocation."
"WJTOG3405 (2010)",2010,"Phase III","Asia-Pacific","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns","Open-label design in EGFR-mutated cohort; small trial size; high rate of crossover upon disease progression; complete survival reporting."
"FLAURA2 (2023)",2023,"Phase III","Global","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns","Open-label combination trial; centralized web-based random allocation; blinded RECIST review; complete survival follow-up."
"ARTEMIS (2022)",2022,"Phase III","Asia-Pacific","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns","Central randomization; open-label design; high adherence to assigned regimens; pre-specified interim survival analysis."
"NEJ009 (2020)",2020,"Phase III","Asia-Pacific","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns","Three-arm open-label trial; central block randomization; well-documented subsequent therapies; intention-to-treat OS evaluation."
"KEYNOTE-598 (2021)",2021,"Phase III","Global","Low risk","Low risk","Low risk","Low risk","Low risk","Low risk","Double-blind, randomized, placebo-controlled trial; robust allocation concealment; futile continuation halted by DMC; complete reporting."
"MARIPOSA-2 (2023)",2023,"Phase III","Global","Low risk","Some concerns","Low risk","Low risk","Low risk","Some concerns","Open-label three-arm trial with BICR; centralized IVRS allocation; comprehensive safety monitoring; pre-specified survival analysis."
"INSPIRE (2021)",2021,"Phase II/III","Global","Some concerns","Some concerns","Low risk","Low risk","Low risk","Some concerns","Modest cohort size (n=290); open-label assignment; centralized allocation; rigorous survival follow-up with complete data reporting."
